Process_ID,Arrival_Time_AT,Burst_Time_BT,Quantum,FCFS_CT_DT,FCFS_TAT_TT,FCFS_WT,FCFS_RT,RR_CT_DT,RR_TAT_TT,RR_WT,RR_RT,SPF_CT_DT,SPF_TAT_TT,SPF_WT,SPF_RT,SRT_CT_DT,SRT_TAT_TT,SRT_WT,SRT_RT
P51,61,16,3,582,521,505,505,5035,5035,5019,150,2969,2908,2892,2892,2969,2908,2892,2892
P52,62,16,3,598,536,520,520,5036,5036,5020,153,2985,2923,2907,2907,2985,2923,2907,2907
P53,64,15,3,613,549,534,534,4508,4508,4493,156,2620,2556,2541,2541,2620,2556,2541,2541
P54,65,4,3,617,552,548,548,1568,1568,1564,159,72,7,3,3,72,7,3,3
P55,66,4,3,621,555,551,551,1569,1569,1565,162,76,10,6,6,76,10,6,6
P56,69,19,3,640,571,552,552,5323,5323,5304,165,4421,4352,4333,4333,4421,4352,4333,4333
P57,69,9,3,649,580,571,571,2770,2770,2761,168,866,797,788,788,866,797,788,788
P58,71,5,3,654,583,578,578,1577,1577,1572,171,81,10,5,5,83,12,7,5
P59,72,5,3,659,587,582,582,1579,1579,1574,174,110,38,33,33,110,38,33,33
P60,72,9,3,668,596,587,587,2773,2773,2764,177,875,803,794,794,875,803,794,794
P61,73,12,3,680,607,595,595,3763,3763,3751,180,1688,1615,1603,1603,1688,1615,1603,1603
P62,73,17,3,697,624,607,607,5041,5041,5024,183,3470,3397,3380,3380,3470,3397,3380,3380
P63,74,20,3,717,643,623,623,5325,5325,5305,186,4917,4843,4823,4823,4917,4843,4823,4823
P64,75,18,3,735,660,642,642,5047,5047,5029,189,4039,3964,3946,3946,4039,3964,3946,3946
P65,76,6,3,741,665,659,659,1597,1597,1591,192,146,70,64,64,146,70,64,64
P66,78,2,3,743,665,663,663,197,197,195,195,83,5,3,3,80,2,0,0
P67,78,8,3,751,673,665,665,2787,2787,2779,197,686,608,600,600,686,608,600,600
P68,81,10,3,761,680,670,670,3773,3773,3763,200,1164,1083,1073,1073,1164,1083,1073,1073
P69,81,4,3,765,684,680,680,1604,1604,1600,203,87,6,2,2,87,6,2,2
P70,83,18,3,783,700,682,682,5050,5050,5032,206,4057,3974,3956,3956,4057,3974,3956,3956
P71,85,17,3,800,715,698,698,5052,5052,5035,209,3487,3402,3385,3385,3487,3402,3385,3385
P72,85,4,3,804,719,715,715,1611,1611,1607,212,99,14,10,10,99,14,10,10
P73,86,3,3,807,721,718,718,218,218,215,215,90,4,1,1,90,4,1,1
P74,88,20,3,827,739,719,719,5327,5327,5307,218,4937,4849,4829,4829,4937,4849,4829,4829
P75,88,2,3,829,741,739,739,223,223,221,221,92,4,2,2,92,4,2,2
P76,89,2,3,831,742,740,740,225,225,223,223,95,6,4,4,95,6,4,4
P77,91,8,3,839,748,740,740,2801,2801,2793,225,694,603,595,595,694,603,595,595
P78,91,1,3,840,749,748,748,229,229,228,228,93,2,1,1,93,2,1,1
P79,91,10,3,850,759,749,749,3783,3783,3773,229,1174,1083,1073,1073,1174,1083,1073,1073
P80,91,16,3,866,775,759,759,5056,5056,5040,232,3001,2910,2894,2894,3001,2910,2894,2894
P81,92,19,3,885,793,774,774,5328,5328,5309,235,4440,4348,4329,4329,4440,4348,4329,4329
P82,94,8,3,893,799,791,791,2812,2812,2804,238,702,608,600,600,702,608,600,600
P83,96,14,3,907,811,797,797,4537,4537,4523,241,2282,2186,2172,2172,2282,2186,2172,2172
P84,97,18,3,925,828,810,810,5062,5062,5044,244,4075,3978,3960,3960,4075,3978,3960,3960
P85,97,3,3,928,831,828,828,250,250,247,247,102,5,2,2,102,5,2,2
P86,97,3,3,931,834,831,831,253,253,250,250,105,8,5,5,105,8,5,5
P87,100,14,3,945,845,831,831,4542,4542,4528,253,2296,2196,2182,2182,2296,2196,2182,2182
P88,102,5,3,950,848,843,843,1640,1640,1635,256,115,13,8,8,115,13,8,8
P89,103,14,3,964,861,847,847,4544,4544,4530,259,2310,2207,2193,2193,2310,2207,2193,2193
P90,105,16,3,980,875,859,859,5063,5063,5047,262,3017,2912,2896,2896,3017,2912,2896,2896
P91,107,18,3,998,891,873,873,5066,5066,5048,265,4093,3986,3968,3968,4093,3986,3968,3968
P92,108,12,3,1010,902,890,890,3810,3810,3798,268,1700,1592,1580,1580,1700,1592,1580,1580
P93,110,9,3,1019,909,900,900,2836,2836,2827,271,884,774,765,765,884,774,765,765
P94,112,12,3,1031,919,907,907,3813,3813,3801,274,1712,1600,1588,1588,1712,1600,1588,1588
P95,113,4,3,1035,922,918,918,1659,1659,1655,277,129,16,12,12,129,16,12,12
P96,115,2,3,1037,922,920,920,282,282,280,280,117,2,0,0,117,2,0,0
P97,116,1,3,1038,922,921,921,283,283,282,282,118,2,1,1,118,2,1,1
P98,116,4,3,1042,926,922,922,1660,1660,1656,283,133,17,13,13,133,17,13,13
P99,117,3,3,1045,928,925,925,289,289,286,286,121,4,1,1,121,4,1,1
P100,117,3,3,1048,931,928,928,292,292,289,289,125,8,5,5,125,8,5,5
P101,118,9,3,1057,939,930,930,2842,2842,2833,292,893,775,766,766,893,775,766,766
P102,120,9,3,1066,946,937,937,2845,2845,2836,295,902,782,773,773,902,782,773,773
P103,121,17,3,1083,962,945,945,5068,5068,5051,298,3504,3383,3366,3366,3504,3383,3366,3366
P104,121,16,3,1099,978,962,962,5069,5069,5053,301,3033,2912,2896,2896,3033,2912,2896,2896
P105,121,1,3,1100,979,978,978,305,305,304,304,122,1,0,0,122,1,0,0
P106,122,13,3,1113,991,978,978,4557,4557,4544,305,1953,1831,1818,1818,1953,1831,1818,1818
P107,125,20,3,1133,1008,988,988,5330,5330,5310,308,4957,4832,4812,4812,4957,4832,4812,4812
P108,127,6,3,1139,1012,1006,1006,1681,1681,1675,311,159,32,26,26,161,34,28,26
P109,128,4,3,1143,1015,1011,1011,1682,1682,1678,314,137,9,5,5,137,9,5,5
P110,129,17,3,1160,1031,1014,1014,5074,5074,5057,317,3521,3392,3375,3375,3521,3392,3375,3375
P111,131,7,3,1167,1036,1029,1029,2861,2861,2854,320,186,55,48,48,189,58,51,48
P112,134,6,3,1173,1039,1033,1033,1691,1691,1685,323,169,35,29,29,171,37,31,29
P113,134,16,3,1189,1055,1039,1039,5075,5075,5059,326,3049,2915,2899,2899,3049,2915,2899,2899
P114,134,10,3,1199,1065,1055,1055,3832,3832,3822,329,1184,1050,1040,1040,1184,1050,1040,1040
P115,134,14,3,1213,1079,1065,1065,4568,4568,4554,332,2324,2190,2176,2176,2324,2190,2176,2176
P116,136,3,3,1216,1080,1077,1077,338,338,335,335,140,4,1,1,140,4,1,1
P117,137,11,3,1227,1090,1079,1079,3837,3837,3826,338,1396,1259,1248,1248,1396,1259,1248,1248
P118,139,16,3,1243,1104,1088,1088,5076,5076,5060,341,3065,2926,2910,2910,3065,2926,2910,2910
P119,141,17,3,1260,1119,1102,1102,5078,5078,5061,344,3538,3397,3380,3380,3538,3397,3380,3380
P120,144,18,3,1278,1134,1116,1116,5081,5081,5063,347,4111,3967,3949,3949,4111,3967,3949,3949
P121,146,3,3,1281,1135,1132,1132,353,353,350,350,149,3,0,0,149,3,0,0
P122,147,16,3,1297,1150,1134,1134,5082,5082,5066,353,3081,2934,2918,2918,3081,2934,2918,2918
P123,147,2,3,1299,1152,1150,1150,358,358,356,356,151,4,2,2,151,4,2,2
P124,148,14,3,1313,1165,1151,1151,4582,4582,4568,358,2338,2190,2176,2176,2338,2190,2176,2176
P125,149,7,3,1320,1171,1164,1164,2889,2889,2882,361,213,64,57,57,214,65,58,57
P126,151,2,3,1322,1171,1169,1169,366,366,364,364,153,2,0,0,153,2,0,0
P127,154,12,3,1334,1180,1168,1168,3855,3855,3843,366,1724,1570,1558,1558,1724,1570,1558,1558
P128,155,1,3,1335,1180,1179,1179,370,370,369,369,160,5,4,4,156,1,0,0
P129,157,11,3,1346,1189,1178,1178,3857,3857,3846,370,1407,1250,1239,1239,1407,1250,1239,1239
P130,158,1,3,1347,1189,1188,1188,374,374,373,373,161,3,2,2,159,1,0,0
P131,159,16,3,1363,1204,1188,1188,5083,5083,5067,374,3097,2938,2922,2922,3097,2938,2922,2922
P132,161,2,3,1365,1204,1202,1202,379,379,377,377,163,2,0,0,163,2,0,0
P133,162,8,3,1373,1211,1203,1203,2900,2900,2892,379,710,548,540,540,710,548,540,540
P134,162,17,3,1390,1228,1211,1211,5085,5085,5068,382,3555,3393,3376,3376,3555,3393,3376,3376
P135,163,13,3,1403,1240,1227,1227,4589,4589,4576,385,1966,1803,1790,1790,1966,1803,1790,1790
P136,164,2,3,1405,1241,1239,1239,390,390,388,388,171,7,5,5,166,2,0,0
P137,167,9,3,1414,1247,1238,1238,2909,2909,2900,390,911,744,735,735,911,744,735,735
P138,168,20,3,1434,1266,1246,1246,5332,5332,5312,393,4977,4809,4789,4789,4977,4809,4789,4789
P139,169,20,3,1454,1285,1265,1265,5334,5334,5314,396,4997,4828,4808,4808,4997,4828,4808,4808
P140,169,2,3,1456,1287,1285,1285,401,401,399,399,173,4,2,2,173,4,2,2
P141,171,6,3,1462,1291,1285,1285,1751,1751,1745,401,179,8,2,2,179,8,2,2
P142,173,13,3,1475,1302,1289,1289,4596,4596,4583,404,1979,1806,1793,1793,1979,1806,1793,1793
P143,175,11,3,1486,1311,1300,1300,3877,3877,3866,407,1418,1243,1232,1232,1418,1243,1232,1232
P144,177,12,3,1498,1321,1309,1309,3880,3880,3868,410,1736,1559,1547,1547,1736,1559,1547,1547
P145,180,3,3,1501,1321,1318,1318,416,416,413,413,189,9,6,6,183,3,0,0
P146,183,12,3,1513,1330,1318,1318,3883,3883,3871,416,1748,1565,1553,1553,1748,1565,1553,1553
P147,184,19,3,1532,1348,1329,1329,5335,5335,5316,419,4459,4275,4256,4256,4459,4275,4256,4256
P148,184,5,3,1537,1353,1348,1348,1768,1768,1763,422,200,16,11,11,200,16,11,11
P149,185,9,3,1546,1361,1352,1352,2933,2933,2924,425,920,735,726,726,920,735,726,726
P150,185,4,3,1550,1365,1361,1361,1772,1772,1768,428,193,8,4,4,193,8,4,4
P151,188,7,3,1557,1369,1362,1362,2934,2934,2927,431,237,49,42,42,242,54,47,42
P152,189,12,3,1569,1380,1368,1368,3889,3889,3877,434,1760,1571,1559,1559,1760,1571,1559,1559
P153,191,14,3,1583,1392,1378,1378,4601,4601,4587,437,2352,2161,2147,2147,2352,2161,2147,2147
P154,191,15,3,1598,1407,1392,1392,4604,4604,4589,440,2635,2444,2429,2429,2635,2444,2429,2429
P155,192,2,3,1600,1408,1406,1406,445,445,443,443,195,3,1,1,195,3,1,1
P156,192,19,3,1619,1427,1408,1408,5336,5336,5317,445,4478,4286,4267,4267,4478,4286,4267,4267
P157,194,15,3,1634,1440,1425,1425,4610,4610,4595,448,2650,2456,2441,2441,2650,2456,2441,2441
P158,194,10,3,1644,1450,1440,1440,3902,3902,3892,451,1194,1000,990,990,1194,1000,990,990
P159,195,6,3,1650,1455,1449,1449,1796,1796,1790,454,206,11,5,5,206,11,5,5
P160,198,13,3,1663,1465,1452,1452,4611,4611,4598,457,1992,1794,1781,1781,1992,1794,1781,1781
P161,200,15,3,1678,1478,1463,1463,4614,4614,4599,460,2665,2465,2450,2450,2665,2465,2450,2450
P162,201,18,3,1696,1495,1477,1477,5100,5100,5082,463,4129,3928,3910,3910,4129,3928,3910,3910
P163,201,15,3,1711,1510,1495,1495,4620,4620,4605,466,2680,2479,2464,2464,2680,2479,2464,2464
P164,202,14,3,1725,1523,1509,1509,4622,4622,4608,469,2366,2164,2150,2150,2366,2164,2150,2150
P165,203,7,3,1732,1529,1522,1522,2968,2968,2961,472,267,64,57,57,269,66,59,57
P166,205,19,3,1751,1546,1527,1527,5337,5337,5318,475,4497,4292,4273,4273,4497,4292,4273,4273
P167,206,9,3,1760,1554,1545,1545,2974,2974,2965,478,929,723,714,714,929,723,714,714
P168,207,12,3,1772,1565,1553,1553,3923,3923,3911,481,1772,1565,1553,1553,1772,1565,1553,1553
P169,208,13,3,1785,1577,1564,1564,4626,4626,4613,484,2005,1797,1784,1784,2005,1797,1784,1784
P170,209,7,3,1792,1583,1576,1576,2981,2981,2974,487,306,97,90,90,308,99,92,90
P171,209,1,3,1793,1584,1583,1583,491,491,490,490,214,5,4,4,210,1,0,0
P172,211,7,3,1800,1589,1582,1582,2982,2982,2975,491,356,145,138,138,358,147,140,138
P173,213,6,3,1806,1593,1587,1587,1835,1835,1829,494,220,7,1,1,220,7,1,1
P174,213,19,3,1825,1612,1593,1593,5338,5338,5319,497,4516,4303,4284,4284,4516,4303,4284,4284
P175,213,15,3,1840,1627,1612,1612,4632,4632,4617,500,2695,2482,2467,2467,2695,2482,2467,2467
P176,213,8,3,1848,1635,1627,1627,2990,2990,2982,503,718,505,497,497,718,505,497,497
P177,215,5,3,1853,1638,1633,1633,1846,1846,1841,506,225,10,5,5,225,10,5,5
P178,217,20,3,1873,1656,1636,1636,5340,5340,5320,509,5017,4800,4780,4780,5017,4800,4780,4780
P179,220,5,3,1878,1658,1653,1653,1851,1851,1846,512,230,10,5,5,230,10,5,5
P180,222,18,3,1896,1674,1656,1656,5112,5112,5094,515,4147,3925,3907,3907,4147,3925,3907,3907
P181,223,8,3,1904,1681,1673,1673,2998,2998,2990,518,726,503,495,495,726,503,495,495
P182,223,18,3,1922,1699,1681,1681,5115,5115,5097,521,4165,3942,3924,3924,4165,3942,3924,3924
P183,226,20,3,1942,1716,1696,1696,5342,5342,5322,524,5037,4811,4791,4791,5037,4811,4791,4791
P184,226,20,3,1962,1736,1716,1716,5344,5344,5324,527,5057,4831,4811,4811,5057,4831,4811,4811
P185,226,17,3,1979,1753,1736,1736,5123,5123,5106,530,3572,3346,3329,3329,3572,3346,3329,3329
P186,227,19,3,1998,1771,1752,1752,5345,5345,5326,533,4535,4308,4289,4289,4535,4308,4289,4289
P187,227,16,3,2014,1787,1771,1771,5127,5127,5111,536,3113,2886,2870,2870,3113,2886,2870,2870
P188,228,15,3,2029,1801,1786,1786,4659,4659,4644,539,2710,2482,2467,2467,2710,2482,2467,2467
P189,231,2,3,2031,1800,1798,1798,544,544,542,542,240,9,7,7,233,2,0,0
P190,233,10,3,2041,1808,1798,1798,3960,3960,3950,544,1204,971,961,961,1204,971,961,961
P191,235,8,3,2049,1814,1806,1806,3024,3024,3016,547,734,499,491,491,734,499,491,491
P192,236,1,3,2050,1814,1813,1813,551,551,550,550,238,2,1,1,237,1,0,0
P193,236,2,3,2052,1816,1814,1814,553,553,551,551,242,6,4,4,239,3,1,1
P194,237,18,3,2070,1833,1815,1815,5130,5130,5112,553,4183,3946,3928,3928,4183,3946,3928,3928
P195,237,14,3,2084,1847,1833,1833,4664,4664,4650,556,2380,2143,2129,2129,2380,2143,2129,2129
P196,237,20,3,2104,1867,1847,1847,5347,5347,5327,559,5077,4840,4820,4820,5077,4840,4820,4820
P197,239,19,3,2123,1884,1865,1865,5348,5348,5329,562,4554,4315,4296,4296,4554,4315,4296,4296
P198,239,4,3,2127,1888,1884,1884,1897,1897,1893,565,246,7,3,3,246,7,3,3
P199,240,12,3,2139,1899,1887,1887,3975,3975,3963,568,1784,1544,1532,1532,1784,1544,1532,1532
P200,241,5,3,2144,1903,1898,1898,1902,1902,1897,571,255,14,9,9,255,14,9,9
P201,242,5,3,2149,1907,1902,1902,1904,1904,1899,574,260,18,13,13,260,18,13,13
P202,244,9,3,2158,1914,1905,1905,3042,3042,3033,577,938,694,685,685,938,694,685,685
P203,244,4,3,2162,1918,1914,1914,1908,1908,1904,580,250,6,2,2,250,6,2,2
P204,245,20,3,2182,1937,1917,1917,5350,5350,5330,583,5097,4852,4832,4832,5097,4852,4832,4832
P205,245,14,3,2196,1951,1937,1937,4675,4675,4661,586,2394,2149,2135,2135,2394,2149,2135,2135
P206,246,15,3,2211,1965,1950,1950,4678,4678,4663,589,2725,2479,2464,2464,2725,2479,2464,2464
P207,248,12,3,2223,1975,1963,1963,3987,3987,3975,592,1796,1548,1536,1536,1796,1548,1536,1536
P208,251,12,3,2235,1984,1972,1972,3990,3990,3978,595,1808,1557,1545,1545,1808,1557,1545,1545
P209,253,18,3,2253,2000,1982,1982,5142,5142,5124,598,4201,3948,3930,3930,4201,3948,3930,3930
P210,253,13,3,2266,2013,2000,2000,4682,4682,4669,601,2018,1765,1752,1752,2018,1765,1752,1752
P211,254,9,3,2275,2021,2012,2012,3066,3066,3057,604,947,693,684,684,947,693,684,684
P212,254,9,3,2284,2030,2021,2021,3069,3069,3060,607,956,702,693,693,956,702,693,693
P213,255,13,3,2297,2042,2029,2029,4683,4683,4670,610,2031,1776,1763,1763,2031,1776,1763,1763
P214,257,12,3,2309,2052,2040,2040,4002,4002,3990,613,1820,1563,1551,1551,1820,1563,1551,1551
P215,258,8,3,2317,2059,2051,2051,3077,3077,3069,616,742,484,476,476,742,484,476,476
P216,259,19,3,2336,2077,2058,2058,5351,5351,5332,619,4573,4314,4295,4295,4573,4314,4295,4295
P217,261,2,3,2338,2077,2075,2075,624,624,622,622,269,8,6,6,263,2,0,0
P218,263,7,3,2345,2082,2075,2075,3081,3081,3074,624,416,153,146,146,416,153,146,146
P219,264,9,3,2354,2090,2081,2081,3084,3084,3075,627,965,701,692,692,965,701,692,692
P220,265,10,3,2364,2099,2089,2089,4006,4006,3996,630,1214,949,939,939,1214,949,939,939
P221,266,20,3,2384,2118,2098,2098,5353,5353,5333,633,5117,4851,4831,4831,5117,4851,4831,4831
P222,267,6,3,2390,2123,2117,2117,1962,1962,1956,636,275,8,2,2,275,8,2,2
P223,270,8,3,2398,2128,2120,2120,3092,3092,3084,639,750,480,472,472,750,480,472,472
P224,273,3,3,2401,2128,2125,2125,645,645,642,642,278,5,2,2,278,5,2,2
P225,274,9,3,2410,2136,2127,2127,3095,3095,3086,645,974,700,691,691,974,700,691,691
P226,276,10,3,2420,2144,2134,2134,4010,4010,4000,648,1224,948,938,938,1224,948,938,938
P227,277,19,3,2439,2162,2143,2143,5354,5354,5335,651,4592,4315,4296,4296,4592,4315,4296,4296
P228,277,4,3,2443,2166,2162,2162,1975,1975,1971,654,282,5,1,1,283,6,2,1
P229,279,1,3,2444,2165,2164,2164,658,658,657,657,283,4,3,3,280,1,0,0
P230,279,14,3,2458,2179,2165,2165,4694,4694,4680,658,2408,2129,2115,2115,2408,2129,2115,2115
P231,279,4,3,2462,2183,2179,2179,1979,1979,1975,661,290,11,7,7,290,11,7,7
P232,281,3,3,2465,2184,2181,2181,667,667,664,664,286,5,2,2,286,5,2,2
P233,283,14,3,2479,2196,2182,2182,4696,4696,4682,667,2422,2139,2125,2125,2422,2139,2125,2125
P234,284,6,3,2485,2201,2195,2195,1985,1985,1979,670,296,12,6,6,296,12,6,6
P235,285,10,3,2495,2210,2200,2200,4020,4020,4010,673,1234,949,939,939,1234,949,939,939
P236,285,9,3,2504,2219,2210,2210,3113,3113,3104,676,983,698,689,689,983,698,689,689
P237,287,10,3,2514,2227,2217,2217,4021,4021,4011,679,1244,957,947,947,1244,957,947,947
P238,289,18,3,2532,2243,2225,2225,5154,5154,5136,682,4219,3930,3912,3912,4219,3930,3912,3912
P239,291,11,3,2543,2252,2241,2241,4026,4026,4015,685,1429,1138,1127,1127,1429,1138,1127,1127
P240,292,20,3,2563,2271,2251,2251,5356,5356,5336,688,5137,4845,4825,4825,5137,4845,4825,4825
P241,293,17,3,2580,2287,2270,2270,5159,5159,5142,691,3589,3296,3279,3279,3589,3296,3279,3279
P242,294,10,3,2590,2296,2286,2286,4033,4033,4023,694,1254,960,950,950,1254,960,950,950
P243,295,3,3,2593,2298,2295,2295,700,700,697,697,299,4,1,1,299,4,1,1
P244,296,13,3,2606,2310,2297,2297,4706,4706,4693,700,2044,1748,1735,1735,2044,1748,1735,1735
P245,296,11,3,2617,2321,2310,2310,4038,4038,4027,703,1440,1144,1133,1133,1440,1144,1133,1133
P246,296,10,3,2627,2331,2321,2321,4039,4039,4029,706,1264,968,958,958,1264,968,958,958
P247,299,17,3,2644,2345,2328,2328,5161,5161,5144,709,3606,3307,3290,3290,3606,3307,3290,3290
P248,301,2,3,2646,2345,2343,2343,714,714,712,712,308,7,5,5,303,2,0,0
P249,303,5,3,2651,2348,2343,2343,2023,2023,2018,714,319,16,11,11,321,18,13,11
P250,304,19,3,2670,2366,2347,2347,5357,5357,5338,717,4611,4307,4288,4288,4611,4307,4288,4288
P251,304,19,3,2689,2385,2366,2366,5358,5358,5339,720,4630,4326,4307,4307,4630,4326,4307,4307
P252,305,20,3,2709,2404,2384,2384,5360,5360,5340,723,5157,4852,4832,4832,5157,4852,4832,4832
P253,306,11,3,2720,2414,2403,2403,4053,4053,4042,726,1451,1145,1134,1134,1451,1145,1134,1134
P254,306,6,3,2726,2420,2414,2414,2038,2038,2032,729,349,43,37,37,349,43,37,37
P255,306,8,3,2734,2428,2420,2420,3157,3157,3149,732,758,452,444,444,758,452,444,444
P256,306,3,3,2737,2431,2428,2428,738,738,735,735,311,5,2,2,311,5,2,2
P257,307,7,3,2744,2437,2430,2430,3158,3158,3151,738,423,116,109,109,423,116,109,109
P258,309,8,3,2752,2443,2435,2435,3160,3160,3152,741,766,457,449,449,766,457,449,449
P259,309,16,3,2768,2459,2443,2443,5171,5171,5155,744,3129,2820,2804,2804,3129,2820,2804,2804
P260,311,17,3,2785,2474,2457,2457,5173,5173,5156,747,3623,3312,3295,3295,3623,3312,3295,3295
P261,311,12,3,2797,2486,2474,2474,4062,4062,4050,750,1832,1521,1509,1509,1832,1521,1509,1509
P262,311,3,3,2800,2489,2486,2486,756,756,753,753,314,3,0,0,314,3,0,0
P263,312,5,3,2805,2493,2488,2488,2058,2058,2053,756,336,24,19,19,338,26,21,19
P264,313,19,3,2824,2511,2492,2492,5361,5361,5342,759,4649,4336,4317,4317,4649,4336,4317,4317
P265,314,16,3,2840,2526,2510,2510,5177,5177,5161,762,3145,2831,2815,2815,3145,2831,2815,2815
P266,316,4,3,2844,2528,2524,2524,2065,2065,2061,765,327,11,7,7,327,11,7,7
P267,316,1,3,2845,2529,2528,2528,769,769,768,768,320,4,3,3,317,1,0,0
P268,316,1,3,2846,2530,2529,2529,770,770,769,769,321,5,4,4,318,2,1,1
P269,319,5,3,2851,2532,2527,2527,2067,2067,2062,770,343,24,19,19,343,24,19,19
P270,319,11,3,2862,2543,2532,2532,4070,4070,4059,773,1462,1143,1132,1132,1462,1143,1132,1132
P271,321,2,3,2864,2543,2541,2541,778,778,776,776,323,2,0,0,323,2,0,0
